id,created_at,exclusive_prod,barcode,category,brand,name,flavour,quant,lim_edition,vegan
1,2026-07-11 21:24:07.807648+00,,5942204005601,1,Pepsi,Pepsi,Original,2,false,false
2,2026-07-11 21:44:46.246819+00,,5942204005595,1,Pepsi,Pepsi,Original,1.25,false,false
3,2026-07-11 21:49:31.910461+00,,3168930173373,2,Doritos,Doritos,Cheese,160,false,false
4,2026-07-11 22:37:49.983686+00,,"5053990101573
",2,Pringles,Pringles,Original,165,false,false
5,2026-07-12 15:13:04.854589+00,,5941445671880,2,Chio,Snack,Cheese,65,false,false
6,2026-07-12 15:19:35.543408+00,,5941664006814,3,McVitie's,Biskrem,Cocoa,160,false,false
7,2026-07-12 15:38:14.296347+00,,5942321002408,1,Sprite,Sprite,Original,2,false,false
8,2026-07-12 15:45:46.736821+00,,5941963004993,7,Cervus,Rosé,Half-dry,0.75,false,false
9,2026-07-12 16:05:17.822237+00,,5941466002571,6,Olympia,Mustard,Classic,300,false,false
10,2026-07-12 16:09:05.390294+00,,5940541487302,1,Dr. Pepper,Dr. Pepper,Original,0.33,false,false
11,2026-07-12 16:15:04.608858+00,,5942017008561,7,Sânge de Taur,Rosé,Sweet,1.5,false,false
12,2026-07-12 16:24:27.986394+00,,5942321000060,1,Coca Cola,Coca Cola,Original,2,false,false
13,2026-07-23 14:52:32.648179+00,6,20128784,3,Maître Jean Pierre,Croissant,Cocoa,85,false,false
16,2026-07-23 14:56:13.912286+00,,7622300441692,3,Milka,Choco Mini Stars,Original,37.5,false,false
